"proprietor_name_1","count"
W2 WESTBOURNE INVESTMENTS LIMITED,12
SAPCOTE INVESTMENTS LIMITED,8
SULLIVAN & CROMWELL LLP,6
HAAB DEVELOPMENT LIMITED,5
BELLBLUE LIMITED,5
SUMMERFIELD TRADING MANAGEMENT LIMITED,4
GREAT BEAR LIMITED,4
RATHMOY (CENTURION HOUSE) LIMITED,4
BIRWARI LIMITED,4
DUSK ASSOCIATES LIMITED,4
